State,Sex,Age Group,Bachelor's Degree Holders,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
50,1,65,"133,401","55,855","9,946","26,444","18,358","22,798"
50,2,20,"678,458","157,128","110,228","115,325","141,116","154,661"
50,2,25,"238,897","66,396","38,276","41,270","31,777","61,178"
50,2,40,"315,212","72,205","50,705","66,090","59,371","66,841"
50,2,65,"124,349","18,527","21,247","7,965","49,968","26,642"
51,1,20,"54,483","25,971","3,373","9,814","5,912","9,413"
51,1,25,"13,852","5,451",998,"2,726",834,"3,843"
51,1,40,"24,149","11,145","1,230","5,077","2,700","3,997"
51,1,65,"16,482","9,375","1,145","2,011","2,378","1,573"
51,2,20,"59,074","15,570","8,470","6,856","16,638","11,540"
51,2,25,"18,180","6,708","2,268","1,936","3,313","3,955"
51,2,40,"26,537","5,110","4,194","3,827","8,007","5,399"
51,2,65,"14,357","3,752","2,008","1,093","5,318","2,186"
